Player,Team ,Position,PassingAtt,Comp,PassingYds,PassingTD,Int,Sack,RushingAtt,RushingYds,RushingTD,FL,FantasyPoints,PositionRank,Targets,Receptions,ReceivingYds,ReceivingTD,Car%,Targ%
Mohamed Sanu ,SF ,WR,0,0,0,0,0,0,0,0,0,0,9,178,5,3,39,0,0%,1%
Tylan Wallace ,BLT ,WR,0,0,0,0,0,0,0,0,0,0,9,179,5,3,39,0,0%,1%
K.J. Hill ,LAC ,WR,0,0,0,0,0,0,2,12,0,0,8,180,3,2,24,0,1%,1%
Jaydon Mickens ,TB ,WR,0,0,0,0,0,0,0,0,0,0,8,181,3,2,25,0,0%,1%
Braxton Berrios ,NYJ ,WR,0,0,0,0,0,0,2,12,0,0,7,182,3,2,21,0,1%,1%
Albert Wilson ,MIA ,WR,0,0,0,0,0,0,2,12,0,0,7,183,3,2,27,0,1%,1%
DeMichael Harris ,IND ,WR,0,0,0,0,0,0,2,13,0,0,6,184,3,2,21,0,1%,1%
Ashton Dulin ,IND ,WR,0,0,0,0,0,0,2,12,0,0,6,185,3,2,22,0,1%,1%
K.J. Osborn ,MIN ,WR,0,0,0,0,0,0,0,0,0,0,6,186,3,2,20,0,0%,1%
Kawaan Baker ,NO ,WR,0,0,0,0,0,0,0,0,0,0,5,187,3,2,26,0,0%,1%
Simi Fehoko ,DAL ,WR,0,0,0,0,0,0,0,0,0,0,5,188,3,2,25,0,0%,1%
JJ Arcega-Whiteside ,PHI ,WR,0,0,0,0,0,0,0,0,0,0,5,189,3,2,24,0,0%,1%
Jalen Camp ,JAX ,WR,0,0,0,0,0,0,0,0,0,0,5,190,3,2,22,0,0%,1%
Trent Sherfield ,SF ,WR,0,0,0,0,0,0,0,0,0,0,4,191,3,2,21,0,0%,1%
Ihmir Smith-Marsette ,MIN ,WR,0,0,0,0,0,0,0,0,0,0,4,192,3,2,20,0,0%,1%
Seth Williams ,DEN ,WR,0,0,0,0,0,0,0,0,0,0,4,193,3,2,20,0,0%,1%
Shi Smith ,CAR ,WR,0,0,0,0,0,0,0,0,0,0,4,194,3,2,21,0,0%,1%
Andre Roberts ,HST ,WR,0,0,0,0,0,0,0,0,0,0,4,195,0,0,0,0,0%,0%
Chris Rowland ,ATL ,WR,0,0,0,0,0,0,0,0,0,0,1,196,0,0,0,0,0%,0%
Malik Taylor ,GB ,WR,0,0,0,0,0,0,0,0,0,0,1,197,0,0,0,0,0%,0%
Brandon Powell ,BUF ,WR,0,0,0,0,0,0,0,0,0,0,1,198,0,0,0,0,0%,0%
Joe Reed ,LAC ,WR,0,0,0,0,0,0,0,0,0,0,1,199,0,0,0,0,0%,0%
Dante Pettis ,NYG ,WR,0,0,0,0,0,0,0,0,0,0,0,200,0,0,0,0,0%,0%
Travis Kelce ,KC ,TE,0,0,0,0,0,0,0,0,0,0,308,1,153,108,1351,11,0%,24%
Darren Waller ,LV ,TE,0,0,0,0,0,0,0,0,0,0,243,2,129,95,1078,7,0%,23%
George Kittle ,SF ,TE,0,0,0,0,0,0,5,20,0,0,227,3,119,83,1048,6,1%,23%
Mark Andrews ,BLT ,TE,0,0,0,0,0,0,0,0,0,0,200,4,109,69,834,8,0%,23%
T.J. Hockenson ,DET ,TE,0,0,0,0,0,0,0,0,0,0,198,5,120,81,845,6,0%,20%
Kyle Pitts ,ATL ,TE,0,0,0,0,0,0,0,0,0,0,193,6,109,74,856,6,0%,18%
Logan Thomas ,WAS ,TE,0,0,0,0,0,0,4,18,0,0,177,7,101,67,707,6,1%,17%
Dallas Goedert ,PHI ,TE,0,0,0,0,0,0,0,0,0,0,161,8,92,63,716,4,0%,17%
Robert Tonyan ,GB ,TE,0,0,0,0,0,0,0,0,0,0,153,9,75,55,633,6,0%,13%
Noah Fant ,DEN ,TE,0,0,0,0,0,0,0,0,0,0,145,10,87,60,627,4,0%,16%
Mike Gesicki ,MIA ,TE,0,0,0,0,0,0,0,0,0,0,142,11,83,52,614,5,0%,14%
Jonnu Smith ,NE ,TE,0,0,0,0,0,0,2,10,0,0,135,12,79,53,556,4,1%,15%
Austin Hooper ,CLV ,TE,0,0,0,0,0,0,0,0,0,0,130,13,72,51,502,5,0%,14%
Evan Engram ,NYG ,TE,0,0,0,0,0,0,4,17,0,0,130,14,85,53,534,3,1%,15%
Eric Ebron ,PIT ,TE,0,0,0,0,0,0,0,0,0,0,130,15,80,51,512,5,0%,12%
Tyler Higbee ,LAR ,TE,0,0,0,0,0,0,0,0,0,0,129,16,70,48,550,4,0%,11%
Irv Smith Jr. ,MIN ,TE,0,0,0,0,0,0,0,0,0,0,127,17,68,48,522,4,0%,13%
Rob Gronkowski ,TB ,TE,0,0,0,0,0,0,0,0,0,0,125,18,63,39,526,6,0%,10%
Hunter Henry ,NE ,TE,0,0,0,0,0,0,0,0,0,0,123,19,74,49,547,3,0%,14%
Adam Trautman ,NO ,TE,0,0,0,0,0,0,0,0,0,0,123,20,69,47,514,4,0%,12%
Cole Kmet ,CHI ,TE,0,0,0,0,0,0,0,0,0,0,119,21,73,48,498,4,0%,13%
Blake Jarwin ,DAL ,TE,0,0,0,0,0,0,0,0,0,0,119,22,65,47,520,3,0%,10%
Jared Cook ,LAC ,TE,0,0,0,0,0,0,0,0,0,0,115,23,61,40,495,4,0%,10%
Anthony Firkser ,TEN ,TE,0,0,0,0,0,0,0,0,0,0,112,24,61,43,479,3,0%,12%
Jordan Akins ,HST ,TE,0,0,0,0,0,0,0,0,0,0,105,25,65,44,470,2,0%,11%
Gerald Everett ,SEA ,TE,0,0,0,0,0,0,0,0,0,0,100,26,60,39,405,3,0%,11%
O.J. Howard ,TB ,TE,0,0,0,0,0,0,0,0,0,0,97,27,51,33,440,3,0%,8%
Jack Doyle ,IND ,TE,0,0,0,0,0,0,0,0,0,0,93,28,54,36,367,3,0%,10%
Chris Herndon ,NYJ ,TE,0,0,0,0,0,0,0,0,0,0,93,29,56,37,402,3,0%,10%
C.J. Uzomah ,CIN ,TE,0,0,0,0,0,0,0,0,0,0,91,30,55,37,358,3,0%,9%
Hayden Hurst ,ATL ,TE,0,0,0,0,0,0,0,0,0,0,90,31,55,36,383,3,0%,9%
Dawson Knox ,BUF ,TE,0,0,0,0,0,0,0,0,0,0,89,32,49,32,353,4,0%,8%
Zach Ertz ,PHI ,TE,0,0,0,0,0,0,0,0,0,0,89,33,60,36,391,2,0%,11%
Mo Alie-Cox ,IND ,TE,0,0,0,0,0,0,0,0,0,0,79,34,44,30,344,3,0%,8%
Dan Arnold ,CAR ,TE,0,0,0,0,0,0,0,0,0,0,79,35,46,30,372,2,0%,8%
Dalton Schultz ,DAL ,TE,0,0,0,0,0,0,0,0,0,0,79,36,45,32,327,2,0%,7%
Donald Parham ,LAC ,TE,0,0,0,0,0,0,0,0,0,0,78,37,43,29,319,3,0%,7%
James O'Shaughnessy ,JAX ,TE,0,0,0,0,0,0,0,0,0,0,74,38,47,31,322,2,0%,8%
Tyler Conklin ,MIN ,TE,0,0,0,0,0,0,0,0,0,0,73,39,42,29,306,2,0%,8%
Will Dissly ,SEA ,TE,0,0,0,0,0,0,0,0,0,0,72,40,38,27,293,3,0%,7%
Maxx Williams ,ARZ ,TE,0,0,0,0,0,0,0,0,0,0,72,41,40,30,289,2,0%,7%
Jimmy Graham ,CHI ,TE,0,0,0,0,0,0,0,0,0,0,66,42,39,25,262,3,0%,7%
Kyle Rudolph ,NYG ,TE,0,0,0,0,0,0,0,0,0,0,62,43,34,25,240,2,0%,6%
Geoff Swaim ,TEN ,TE,0,0,0,0,0,0,0,0,0,0,55,44,31,22,207,2,0%,6%
Jacob Hollister ,BUF ,TE,0,0,0,0,0,0,0,0,0,0,51,45,31,20,198,2,0%,5%
Albert Okwuegbunam ,DEN ,TE,0,0,0,0,0,0,0,0,0,0,49,46,27,19,198,2,0%,5%
David Njoku ,CLV ,TE,0,0,0,0,0,0,0,0,0,0,47,47,26,16,188,2,0%,5%
Harrison Bryant ,CLV ,TE,0,0,0,0,0,0,0,0,0,0,47,48,26,17,191,2,0%,5%
Darren Fells ,DET ,TE,0,0,0,0,0,0,0,0,0,0,44,49,24,17,181,1,0%,4%
Foster Moreau ,LV ,TE,0,0,0,0,0,0,0,0,0,0,42,50,22,16,173,1,0%,4%
Nick Boyle ,BLT ,TE,0,0,0,0,0,0,0,0,0,0,42,51,24,17,150,2,0%,5%
Brycen Hopkins ,LAR ,TE,0,0,0,0,0,0,0,0,0,0,40,52,26,17,172,1,0%,4%
Drew Sample ,CIN ,TE,0,0,0,0,0,0,0,0,0,0,40,53,24,17,161,1,0%,4%
Kahale Warring ,HST ,TE,0,0,0,0,0,0,0,0,0,0,39,54,24,16,166,1,0%,4%
Pat Freiermuth ,PIT ,TE,0,0,0,0,0,0,0,0,0,0,34,55,20,14,143,1,0%,3%
Blake Bell ,KC ,TE,0,0,0,0,0,0,0,0,0,0,33,56,19,13,133,1,0%,3%
Nick Vannett ,NO ,TE,0,0,0,0,0,0,0,0,0,0,32,57,18,13,128,1,0%,3%
Jacob Harris ,LAR ,TE,0,0,0,0,0,0,0,0,0,0,30,58,19,12,129,1,0%,3%
Pharaoh Brown ,HST ,TE,0,0,0,0,0,0,0,0,0,0,30,59,18,12,129,1,0%,3%
Darrell Daniels ,ARZ ,TE,0,0,0,0,0,0,0,0,0,0,30,60,17,11,122,1,0%,3%
Durham Smythe ,MIA ,TE,0,0,0,0,0,0,0,0,0,0,29,61,18,13,117,1,0%,3%
Ryan Griffin ,NYJ ,TE,0,0,0,0,0,0,0,0,0,0,27,62,17,11,114,1,0%,3%
Tommy Hudson ,TEN ,TE,0,0,0,0,0,0,0,0,0,0,26,63,15,10,101,1,0%,3%
Cameron Brate ,TB ,TE,0,0,0,0,0,0,0,0,0,0,23,64,13,9,92,1,0%,2%
Marcedes Lewis ,GB ,TE,0,0,0,0,0,0,0,0,0,0,22,65,12,8,82,1,0%,2%
Josiah Deguara ,GB ,TE,0,0,0,0,0,0,0,0,0,0,20,66,12,8,86,1,0%,2%
Colby Parkinson ,SEA ,TE,0,0,0,0,0,0,0,0,0,0,20,67,11,8,79,1,0%,2%
Chris Manhertz ,JAX ,TE,0,0,0,0,0,0,0,0,0,0,20,68,12,8,86,1,0%,2%
Hunter Long ,MIA ,TE,0,0,0,0,0,0,0,0,0,0,20,69,12,8,84,1,0%,2%
Noah Togiai ,IND ,TE,0,0,0,0,0,0,0,0,0,0,18,70,11,7,78,1,0%,2%
Ross Dwelley ,SF ,TE,0,0,0,0,0,0,0,0,0,0,18,71,10,7,75,1,0%,2%
Ian Thomas ,CAR ,TE,0,0,0,0,0,0,0,0,0,0,17,72,12,8,70,0,0%,2%
Temarrick Hemingway ,WAS ,TE,0,0,0,0,0,0,0,0,0,0,16,73,9,6,68,0,0%,2%
Ben Ellefson ,JAX ,TE,0,0,0,0,0,0,0,0,0,0,15,74,9,6,65,0,0%,2%
Josh Oliver ,BLT ,TE,0,0,0,0,0,0,0,0,0,0,13,75,7,5,51,0,0%,2%
Zach Gentry ,PIT ,TE,0,0,0,0,0,0,0,0,0,0,12,76,7,5,48,0,0%,1%
Tommy Sweeney ,BUF ,TE,0,0,0,0,0,0,0,0,0,0,11,77,6,4,46,0,0%,1%
Jeremy Sprinkle ,DAL ,TE,0,0,0,0,0,0,0,0,0,0,11,78,6,4,44,0,0%,1%
Johnny Mundt ,LAR ,TE,0,0,0,0,0,0,0,0,0,0,11,79,6,4,47,0,0%,1%
Noah Gray,KC ,TE,0,0,0,0,0,0,0,0,0,0,10,80,6,4,42,0,0%,1%
